product_category,product_price,quantity,delivery_days,customer_rating,order_month,order_dayofweek
Beauty,29.99,2,5,4.5,3,2
Fashion,89.99,1,7,3.8,5,1
Electronics,199.99,1,3,4.2,2,4
Home & Kitchen,45.50,3,6,4.0,4,3
Books,15.99,2,4,4.7,1,5
Toys,34.99,1,5,3.5,6,0
Automotive,125.00,1,8,3.9,3,2
Sports,67.50,2,6,4.1,2,6
Beauty,56.99,1,4,4.6,5,1
Fashion,120.00,1,7,3.2,4,3
Electronics,299.99,1,2,4.9,1,0
Home & Kitchen,35.75,2,5,3.7,3,4
Books,22.50,3,5,4.8,2,2
Toys,49.99,1,6,3.4,6,3
Automotive,95.00,1,9,3.6,4,1
